category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Tablets,L3,69%,12,0.00%,$1.33k,85.24%,99.85%,(0.06%),(89.48%),(10.46%),76%,15,-32.87%,$8.81k,77.85%,99.50%,(0.02%),(76.35%),(23.63%),55%,21,-4.84%,$21.53k,69.28%,97.80%,(0.1%),(73.51%),(26.02%),61%,33,-26.37%,$50.45k,73.12%,97.07%,(0.39%),(75.51%),(23.53%),60%,40,1621.75%,$44.04k,74.16%,97.06%,(0.38%),(75.6%),(23.47%)
Sunscreen & Sun Care,L3,6%,21,0.00%,$463.50,71.94%,95.65%,(5.1%),(92.22%),(2.67%),7%,35,-12.35%,$2.75k,50.89%,94.64%,(2.64%),(71.18%),(26.18%),7%,54,15.95%,$8.36k,59.17%,92.31%,(4.32%),(75.49%),(20.15%),6%,105,14.22%,$11.62k,48.30%,78.87%,(6.96%),(63.08%),(29.44%),5%,173,-3.02%,$14.33k,62.09%,79.52%,(8.42%),(62.75%),(28.16%)
Sexual Wellness,L2,1%,9,0.00%,$1.36k,95.64%,100.00%,(4.61%),(92.88%),(2.51%),1%,14,3.89%,$6.42k,95.29%,99.54%,(2.77%),(91.76%),(5.47%),1%,23,1.79%,$19.61k,93.79%,99.63%,(6.23%),(86.42%),(7.35%),1%,44,91.06%,$21.29k,85.15%,96.45%,(9.86%),(68.19%),(21.56%),1%,80,-38.71%,$30.81k,60.27%,92.99%,(9.39%),(48.45%),(41.95%)
Watches & Accessories,L2,2%,68,0.00%,$154.66,35.57%,72.20%,(12.55%),(67.43%),(20.02%),2%,96,-12.53%,$898.86,35.58%,70.62%,(19.92%),(61.19%),(18.89%),2%,124,-18.47%,$3.61k,34.16%,67.28%,(17.84%),(61.79%),(20.37%),3%,195,-11.37%,$8.48k,45.05%,70.58%,(11.57%),(59.62%),(28.71%),2%,326,115.52%,$7.42k,38.64%,61.96%,(14.57%),(52.1%),(33.25%)
Pans & Woks,L3,16%,56,0.00%,$195.29,37.24%,72.55%,(8.47%),(65.18%),(26.36%),19%,78,-21.59%,$1.43k,47.50%,78.41%,(8.07%),(63.47%),(28.46%),15%,112,-2.50%,$3.99k,38.93%,71.76%,(8.63%),(64.13%),(27.2%),18%,259,-5.96%,$5.58k,44.97%,69.15%,(3.28%),(66.36%),(28.98%),32%,647,-70.07%,$9.70k,61.07%,79.61%,(1.52%),(81.05%),(16.91%)
Resistance Bands,L3,2%,29,0.00%,$180.38,81.57%,93.04%,(0.76%),(90.99%),(8.25%),2%,41,-1.69%,$1.02k,78.37%,91.21%,(0.95%),(87.88%),(11.17%),5%,57,-43.10%,$7.73k,88.41%,95.17%,(20.3%),(72.63%),(7.07%),3%,86,43.72%,$12.21k,74.09%,90.34%,(10.1%),(72.57%),(16.13%),4%,203,28.62%,$9.19k,59.40%,86.90%,(5.94%),(68.45%),(23.49%)
Storage Bags,L3,9%,27,0.00%,$429.00,87.81%,96.34%,(0%),(94.27%),(5.73%),7%,34,6.60%,$2.57k,84.84%,95.63%,(0.25%),(94.81%),(4.93%),6%,48,-19.56%,$9.14k,80.01%,94.52%,(0.55%),(92.44%),(5.95%),6%,97,51.30%,$10.28k,65.63%,91.53%,(0.25%),(78.77%),(20.11%),6%,242,82.16%,$6.38k,56.84%,85.34%,(0.3%),(66.64%),(32.49%)
Bath & Body Care,L3,42%,27,0.00%,$366.20,80.07%,94.84%,(2.34%),(86.25%),(11.41%),43%,43,-10.78%,$1.98k,82.44%,94.13%,(2.07%),(84.79%),(13.14%),47%,65,-28.18%,$6.74k,70.61%,91.93%,(1.66%),(78.62%),(19.57%),46%,124,29.78%,$10.35k,67.71%,90.33%,(2.22%),(72.76%),(24.07%),40%,237,37.28%,$9.36k,63.65%,84.68%,(11.32%),(64.4%),(23.68%)
Car Battery Repair Tools,L3,17%,3,0.00%,$3.05k,100.00%,100.00%,(9.44%),(90.56%),(0%),24%,3,-26.09%,$40.85k,100.00%,100.00%,(5.22%),(93.98%),(0.8%),17%,3,-7.60%,$142.29k,100.00%,100.00%,(3.71%),(93.91%),(2.26%),21%,3,-38.79%,$503.52k,100.00%,100.00%,(3.81%),(82.33%),(12.95%),13%,3,567.37%,$578.97k,100.00%,100.00%,(3.61%),(82.73%),(12.87%)
Laptop Bags,L3,68%,15,0.00%,$418.79,61.61%,99.06%,(16%),(73.77%),(10.23%),70%,34,-20.13%,$1.84k,62.58%,96.45%,(25.13%),(63.61%),(11.26%),67%,62,-42.82%,$6.88k,67.50%,94.48%,(25.78%),(64.85%),(9.05%),69%,102,28.81%,$13.26k,62.30%,91.27%,(25.44%),(56.96%),(17.08%),77%,195,78.12%,$10.83k,55.67%,88.18%,(19.78%),(60.99%),(18.9%)
Psychology & Relationships,L3,30%,10,0.00%,$2.14k,98.67%,100.00%,(1.57%),(97.34%),(1.09%),21%,15,52.95%,$7.87k,98.46%,99.89%,(2.38%),(96.45%),(1.17%),23%,26,9.78%,$16.34k,96.62%,99.43%,(2.61%),(95.88%),(1.51%),15%,40,154.99%,$23.03k,95.28%,99.13%,(6.39%),(89.63%),(3.83%),14%,75,51.46%,$20.39k,94.66%,98.70%,(9.63%),(85.75%),(4.16%)
Pyjamas,L3,77%,27,0.00%,$373.82,66.06%,95.10%,(5.97%),(85.21%),(8.82%),74%,41,-20.18%,$2.13k,57.42%,92.74%,(12.58%),(78.55%),(8.86%),71%,45,-0.37%,$9.35k,56.25%,91.48%,(19.22%),(67.68%),(12.92%),71%,82,-7.04%,$15.98k,51.10%,87.77%,(9.66%),(66.74%),(22.66%),73%,148,8.49%,$17.01k,58.38%,87.45%,(6.02%),(69.64%),(23.69%)
Monitors,L3,83%,10,0.00%,$664.65,66.43%,100.00%,(25.27%),(58.57%),(16.16%),91%,16,-46.75%,$6.37k,68.52%,97.50%,(19.54%),(65.78%),(14.68%),83%,19,-14.61%,$21.76k,66.75%,96.59%,(15.44%),(64.42%),(19.73%),87%,29,-34.74%,$51.47k,52.18%,94.25%,(9.6%),(56.24%),(32.93%),88%,53,-34.25%,$70.99k,58.72%,93.48%,(6.32%),(62.97%),(29.84%)
Belts,L3,14%,55,0.00%,$118.26,49.15%,78.71%,(11.94%),(61.41%),(26.65%),13%,71,-21.16%,$800.37,45.51%,77.05%,(12.47%),(61.7%),(25.83%),22%,96,-44.45%,$4.33k,62.59%,84.99%,(20.94%),(63.37%),(15.69%),17%,134,-4.57%,$9.79k,64.39%,84.56%,(14.47%),(62.74%),(22.65%),14%,229,46.05%,$9.65k,61.77%,79.89%,(18.62%),(51.23%),(30.05%)
Coffee Machines & Accessories,L3,5%,18,0.00%,$274.75,65.89%,96.08%,(1.21%),(96.94%),(1.85%),9%,31,-27.83%,$3.83k,58.59%,96.42%,(8.24%),(73.56%),(18.2%),12%,39,14.45%,$10.62k,51.68%,95.18%,(17.22%),(64.98%),(17.78%),12%,84,-22.97%,$15.88k,59.26%,92.19%,(8.03%),(72.77%),(18.14%),12%,170,113.99%,$11.52k,47.19%,84.58%,(5.5%),(67.61%),(26.15%)
Hair Dryers,L3,2%,30,0.00%,$331.14,63.77%,86.18%,(16.94%),(75.35%),(7.71%),2%,37,-20.97%,$2.08k,63.83%,86.48%,(11.93%),(81.22%),(6.85%),2%,53,-16.93%,$7.77k,52.67%,80.58%,(15.53%),(73.91%),(10.43%),3%,111,-36.33%,$13.94k,63.53%,80.45%,(19.27%),(64.09%),(15.9%),5%,236,-51.17%,$19.99k,67.76%,83.99%,(16.4%),(63.8%),(19.34%)
Electric & Remote Control Toys,L2,5%,21,0.00%,$460.56,51.16%,85.43%,(0%),(95.26%),(4.74%),5%,40,-10.76%,$1.94k,46.87%,83.74%,(2.72%),(83.05%),(14.22%),5%,63,-30.11%,$6.34k,49.16%,79.48%,(3.04%),(83.32%),(13.54%),6%,110,-39.13%,$16.30k,52.35%,80.66%,(1.24%),(77.3%),(20.96%),7%,167,45.60%,$18.11k,44.32%,75.26%,(0.8%),(72.51%),(26.33%)
Underwear,L3,28%,38,0.00%,$177.30,35.58%,77.79%,(2.86%),(78.7%),(18.44%),33%,45,-47.01%,$1.83k,46.43%,81.81%,(6.62%),(60.06%),(33.33%),34%,62,-19.28%,$6.39k,46.17%,79.83%,(9.72%),(71.21%),(19.06%),43%,87,14.98%,$15.15k,45.32%,77.85%,(8.52%),(67.73%),(23.17%),38%,130,127.69%,$14.59k,36.53%,71.09%,(8.01%),(59.73%),(31.86%)
Tool Organizers,L2,8%,38,0.00%,$254.16,63.38%,91.14%,(10.38%),(62.4%),(27.22%),6%,64,-23.80%,$1.02k,62.83%,84.29%,(16.49%),(68.55%),(14.95%),7%,96,-39.29%,$4.11k,55.77%,85.02%,(15.31%),(74.12%),(10.5%),10%,175,-39.27%,$9.59k,52.85%,79.15%,(13.1%),(66.44%),(20.31%),12%,451,-18.54%,$8.29k,53.16%,73.79%,(12.12%),(61.48%),(26.29%)
Tool Cases & Boxes,L3,100%,38,0.00%,$254.16,63.38%,91.14%,(10.38%),(62.4%),(27.22%),100%,64,-23.80%,$1.02k,62.83%,84.29%,(16.49%),(68.55%),(14.95%),100%,96,-39.29%,$4.11k,55.77%,85.02%,(15.31%),(74.12%),(10.5%),100%,175,-39.27%,$9.59k,52.85%,79.15%,(13.1%),(66.44%),(20.31%),100%,451,-18.54%,$8.29k,53.16%,73.79%,(12.12%),(61.48%),(26.29%)
Irons,L3,3%,11,0.00%,$744.66,90.47%,99.92%,(0%),(96.16%),(3.84%),2%,13,-3.29%,$5.47k,90.96%,99.79%,(0%),(92.76%),(7.24%),3%,24,-11.42%,$16.32k,88.13%,99.49%,(0.07%),(92.75%),(7.11%),2%,42,47.35%,$19.89k,83.78%,98.47%,(0.06%),(84.65%),(14.82%),2%,N/A,N/A,N/A,N/A,N/A,(0.06%),(84.65%),(14.82%)
Braces & Supports,L3,21%,7,0.00%,$566.12,97.78%,100.00%,(28.18%),(63.24%),(8.57%),36%,10,-7.72%,$8.06k,97.77%,100.00%,(6.85%),(91.31%),(1.84%),32%,16,-14.06%,$24.43k,97.79%,99.84%,(3.8%),(91.67%),(1.92%),26%,21,-7.73%,$55.41k,98.02%,99.87%,(1.78%),(92.75%),(4.46%),18%,29,1334.19%,$42.93k,96.33%,99.65%,(3.78%),(89.75%),(5.51%)
Bathroom Sets,L3,45%,47,0.00%,$265.24,67.62%,90.15%,(51.86%),(33.8%),(14.34%),43%,69,7.90%,$1.26k,67.12%,87.66%,(46.22%),(40.75%),(13.04%),40%,95,-23.54%,$4.11k,59.31%,82.00%,(48.25%),(30.99%),(20.69%),42%,195,-16.12%,$6.65k,51.68%,72.63%,(35.16%),(33.56%),(30.86%),45%,535,-20.94%,$5.49k,46.78%,70.73%,(32.11%),(36.04%),(31.06%)
Backpacks,L3,17%,23,0.00%,$232.23,72.38%,91.36%,(10.21%),(77.65%),(12.13%),20%,36,-26.66%,$1.51k,75.10%,91.35%,(9.64%),(81.63%),(8.72%),27%,56,-39.64%,$6.85k,74.63%,92.55%,(6.77%),(84.26%),(8.78%),24%,99,19.92%,$11.94k,67.91%,89.01%,(5.07%),(78.1%),(16.14%),21%,178,35.15%,$11.55k,63.75%,86.21%,(4.1%),(70.13%),(25.38%)
Popcorn,L3,7%,24,0.00%,$526.62,70.93%,97.70%,(26.03%),(63.86%),(10.11%),9%,33,1.38%,$3.07k,79.25%,98.20%,(24.22%),(68.09%),(7.69%),8%,49,16.90%,$7.82k,76.66%,96.51%,(30.42%),(62.46%),(6.65%),8%,86,-6.20%,$15.16k,76.69%,96.23%,(30.11%),(58.98%),(9.91%),7%,141,16.68%,$17.17k,63.80%,93.49%,(29.4%),(58.63%),(11.4%)
Electric Kettles,L3,10%,3,0.00%,$3.26k,100.00%,100.00%,(0%),(100%),(0%),17%,8,-35.41%,$27.69k,99.79%,100.00%,(0%),(99.94%),(0.06%),11%,14,142.03%,$27.23k,97.70%,99.89%,(0%),(99.32%),(0.68%),6%,34,90.39%,$19.49k,92.99%,99.08%,(0%),(96.83%),(2.91%),6%,73,124.38%,$13.12k,83.51%,96.79%,(0%),(90.72%),(8.69%)
Golf,L3,20%,68,0.00%,$169.62,53.63%,78.25%,(12.27%),(78.01%),(9.73%),30%,95,-20.05%,$853.81,50.24%,76.30%,(10.38%),(75.4%),(14.21%),19%,156,8.21%,$2.42k,48.94%,69.31%,(13.06%),(72.34%),(14.6%),27%,302,-16.81%,$5.44k,40.11%,63.53%,(13.68%),(63.17%),(22.28%),37%,438,7.73%,$7.23k,48.96%,68.47%,(13.6%),(63.19%),(22.55%)
Jerseys,L3,5%,59,0.00%,$272.91,62.47%,82.92%,(15.51%),(65.06%),(19.43%),3%,83,10.90%,$952.03,38.69%,67.59%,(16.8%),(44.76%),(38.43%),3%,171,3.45%,$2.20k,30.53%,58.26%,(19.26%),(45.1%),(35.64%),4%,348,-28.63%,$4.40k,20.48%,46.76%,(19.28%),(45.44%),(34.94%),5%,430,-37.08%,$9.22k,29.76%,53.52%,(22.86%),(35.45%),(41.52%)
Measuring Tools,L2,9%,25,0.00%,$425.23,56.42%,93.93%,(1.51%),(82.52%),(15.98%),7%,39,7.33%,$1.93k,50.63%,87.63%,(1.72%),(63.14%),(35.14%),7%,47,-24.71%,$7.87k,54.14%,85.07%,(4.74%),(71.21%),(24.05%),6%,72,16.86%,$14.63k,48.03%,79.72%,(2.66%),(71.67%),(25.51%),6%,176,36.37%,$10.37k,42.72%,74.49%,(2.23%),(66.12%),(31.51%)
Laptops,L3,31%,2,0.00%,$3.54k,100.00%,100.00%,(3.86%),(92.61%),(3.53%),23%,2,-20.00%,$20.22k,100.00%,100.00%,(9.04%),(87.16%),(3.81%),44%,4,-63.33%,$92.01k,99.92%,100.00%,(3.43%),(93.65%),(2.92%),38%,6,16.14%,$171.41k,99.20%,100.00%,(8.46%),(86.67%),(4.41%),39%,17,710.07%,$67.96k,96.49%,99.71%,(10.06%),(80.73%),(8.8%)
Electrical Measuring Instruments,L3,100%,25,0.00%,$425.23,56.42%,93.93%,(1.51%),(82.52%),(15.98%),100%,39,7.36%,$1.93k,50.78%,87.90%,(1.73%),(63.03%),(35.25%),99%,47,-24.33%,$7.81k,54.54%,84.97%,(4.78%),(71.08%),(24.14%),100%,72,16.01%,$14.57k,48.22%,79.64%,(2.67%),(71.61%),(25.56%),100%,176,35.84%,$10.35k,42.82%,74.43%,(2.24%),(66.07%),(31.55%)
Office Equipment,L2,5%,18,0.00%,$624.77,69.75%,96.09%,(34.89%),(43.43%),(21.68%),4%,31,-9.14%,$2.71k,74.26%,93.14%,(28.74%),(51.58%),(19.68%),4%,48,-15.90%,$7.58k,62.78%,90.38%,(17.03%),(59.76%),(23.14%),6%,88,-43.31%,$18.72k,69.43%,91.33%,(7.49%),(44.37%),(47.28%),8%,159,-5.77%,$21.35k,62.54%,90.99%,(5.6%),(51.97%),(42.01%)
Car Exterior Accessories,L2,4%,125,0.00%,$88.66,32.10%,57.42%,(21.62%),(56.32%),(22.06%),4%,157,-29.09%,$592.51,40.98%,64.96%,(15.72%),(59.61%),(24.67%),3%,206,10.93%,$1.76k,29.01%,53.62%,(18.69%),(52.56%),(28.75%),5%,324,-55.65%,$5.77k,50.39%,66.74%,(15.37%),(53.68%),(30.82%),6%,555,-29.61%,$8.15k,54.09%,68.25%,(10.2%),(61.29%),(28.43%)
Electric Wrenches,L3,16%,2,0.00%,$2.94k,100.00%,100.00%,(0%),(100%),(0%),20%,2,-13.56%,$33.12k,100.00%,100.00%,(0.24%),(99.76%),(0%),22%,2,-46.34%,$179.80k,100.00%,100.00%,(0.38%),(97.32%),(1.04%),32%,2,-41.95%,$949.15k,100.00%,100.00%,(0.14%),(85.44%),(12.31%),25%,2,1222.24%,$1.02m,100.00%,100.00%,(0.13%),(86.46%),(11.44%)
Religion & Philosophy,L3,14%,14,0.00%,$687.95,85.82%,99.24%,(15.3%),(80.97%),(3.73%),16%,22,-10.50%,$3.94k,83.82%,98.30%,(7.93%),(89.39%),(2.68%),19%,35,-5.00%,$10.21k,83.18%,96.71%,(6.49%),(89.47%),(4.03%),23%,61,-32.45%,$24.35k,87.45%,95.88%,(3.28%),(86.47%),(9.46%),32%,88,-30.15%,$41.04k,84.08%,95.32%,(2.59%),(87.16%),(9.91%)
Knitwear,L3,4%,23,0.00%,$334.64,68.26%,96.46%,(3.73%),(86.22%),(10.05%),4%,30,-30.10%,$2.48k,70.51%,97.07%,(2.88%),(85.77%),(11.34%),4%,34,28.95%,$10.39k,64.58%,97.06%,(2.34%),(76.38%),(21.23%),5%,53,-28.96%,$22.92k,72.10%,97.46%,(1.44%),(81.34%),(17.06%),6%,102,-15.00%,$25.92k,76.52%,96.76%,(1.45%),(82.62%),(15.78%)
Heels,L3,12%,40,0.00%,$259.70,56.97%,84.73%,(22.3%),(66.86%),(10.84%),12%,54,-3.40%,$1.47k,55.95%,82.80%,(22.37%),(64.42%),(13.21%),10%,66,-6.47%,$5.34k,46.32%,79.67%,(23.79%),(59.39%),(16.83%),8%,102,35.50%,$9.00k,36.97%,72.85%,(22.86%),(51.96%),(24.87%),7%,N/A,N/A,N/A,N/A,N/A,(22.86%),(51.96%),(34.86%)
OTC Medications & Treatments,L2,1%,21,0.00%,$533.19,75.69%,97.05%,(13.39%),(67.42%),(19.19%),1%,28,-11.20%,$2.94k,69.82%,96.21%,(15.22%),(65.59%),(19.19%),1%,43,12.73%,$8.17k,76.49%,95.79%,(26.09%),(52.9%),(20.68%),1%,80,31.87%,$11.43k,72.44%,90.69%,(21.12%),(51.27%),(24.89%),0%,99,512.81%,$10.74k,66.71%,85.75%,(20.42%),(50.62%),(26.45%)
Training & Gym Shoes,L3,33%,11,0.00%,$693.91,90.23%,99.77%,(43.6%),(51.66%),(4.74%),32%,16,19.10%,$3.53k,92.71%,99.05%,(37.31%),(56.72%),(5.96%),40%,25,-41.48%,$14.01k,90.80%,98.08%,(42.91%),(48.67%),(8.4%),23%,35,430.99%,$15.49k,81.98%,96.94%,(37.49%),(43.92%),(17.82%),20%,47,890.61%,$12.70k,76.95%,94.55%,(34.13%),(45.24%),(19.93%)
Motors & Generators,L3,89%,2,0.00%,$1.51k,100.00%,100.00%,(0%),(100%),(0%),91%,9,-40.57%,$4.31k,84.16%,100.00%,(1.01%),(91.28%),(7.71%),89%,12,-58.56%,$29.04k,82.17%,99.95%,(2.22%),(86.79%),(10.99%),87%,22,-10.44%,$43.77k,72.31%,98.06%,(5.47%),(73.26%),(20.88%),88%,43,46.43%,$37.69k,56.75%,95.49%,(3.75%),(61.98%),(34%)
Dolls & Stuffed Toys,L2,5%,57,0.00%,$152.89,37.88%,72.28%,(10.27%),(72.56%),(17.17%),5%,82,-21.78%,$839.03,42.72%,74.77%,(9.91%),(74.52%),(15.57%),5%,126,-24.41%,$2.72k,42.06%,74.81%,(8.76%),(69.9%),(21.26%),4%,209,11.71%,$4.92k,44.60%,73.27%,(6.77%),(64.4%),(28.63%),5%,362,6.86%,$5.50k,42.68%,69.62%,(6.44%),(60.44%),(32.86%)
Teeth Whitening,L3,10%,2,0.00%,$3.17k,100.00%,100.00%,(6.61%),(93.39%),(0%),8%,3,-4.43%,$14.92k,100.00%,100.00%,(5.64%),(92.31%),(2.05%),12%,3,-54.58%,$114.40k,100.00%,100.00%,(5.24%),(92.41%),(1.95%),14%,3,14.37%,$319.27k,100.00%,100.00%,(2.27%),(89.32%),(5.83%),10%,3,449.33%,$377.39k,100.00%,100.00%,(1.93%),(90.96%),(4.93%)
Projectors,L3,12%,34,0.00%,$389.67,46.79%,81.91%,(14.48%),(79.66%),(5.86%),8%,58,-6.02%,$1.30k,30.44%,71.75%,(7.95%),(66.08%),(25.97%),5%,101,-26.93%,$3.38k,24.08%,60.82%,(5.39%),(67.48%),(27.05%),15%,194,-73.39%,$17.71k,60.66%,81.14%,(2.43%),(72.01%),(22.99%),12%,284,65.24%,$19.42k,53.02%,80.64%,(2.04%),(70%),(26.24%)
Shelves & Racks,L3,4%,19,0.00%,$373.13,70.51%,96.11%,(5.52%),(88.76%),(5.72%),5%,25,-11.64%,$3.12k,74.62%,97.21%,(6.16%),(86.2%),(7.64%),4%,35,-20.79%,$9.71k,74.17%,95.77%,(6.94%),(84.17%),(8.59%),3%,93,-6.08%,$9.18k,66.27%,90.57%,(4.21%),(77.32%),(16.93%),2%,162,189.20%,$7.09k,51.54%,77.66%,(3.15%),(66.13%),(29.58%)
Boots,L3,17%,32,0.00%,$461.20,63.65%,89.91%,(5.04%),(87.36%),(7.6%),14%,47,47.88%,$2.00k,55.47%,87.35%,(5.8%),(80.43%),(13.77%),10%,60,-3.37%,$5.66k,40.88%,77.39%,(11.14%),(70.15%),(18.64%),8%,100,40.21%,$8.72k,41.57%,75.68%,(9.88%),(67.29%),(22.42%),8%,274,15.45%,$5.94k,36.20%,67.30%,(9.23%),(60.79%),(29.72%)
Bag Accessories,L2,6%,68,0.00%,$181.69,67.84%,86.10%,(60%),(25.34%),(14.66%),5%,108,28.49%,$644.05,54.17%,75.51%,(52.28%),(30.79%),(16.93%),4%,149,-19.52%,$2.27k,46.53%,69.38%,(44.22%),(34.47%),(21.3%),5%,254,-11.82%,$4.89k,47.12%,67.38%,(34.98%),(39.47%),(25.14%),4%,384,55.13%,$5.32k,38.43%,58.85%,(32.19%),(36.26%),(31.28%)
Ab Training,L3,13%,1,0.00%,$30.88k,100.00%,100.00%,(0%),(98.42%),(1.58%),10%,1,61.51%,$181.06k,100.00%,100.00%,(0%),(95.55%),(4.45%),4%,1,168.72%,$336.25k,100.00%,100.00%,(8.81%),(88.73%),(2.46%),3%,1,0.85%,$857.00k,100.00%,100.00%,(7.63%),(87.04%),(5.25%),2%,1,1520.03%,$909.90k,100.00%,100.00%,(7.23%),(87.76%),(4.94%)
Kids' Fashion,L1,0%,82,0.00%,$99.71,35.24%,63.56%,(44.77%),(38.43%),(16.81%),0%,137,-11.28%,$444.56,28.69%,59.41%,(31.14%),(49.56%),(19.3%),0%,249,-27.92%,$1.35k,26.94%,53.82%,(33.15%),(46.3%),(20.53%),0%,465,13.62%,$2.51k,25.31%,51.19%,(35%),(38.11%),(26.68%),0%,488,1861.22%,$2.51k,24.08%,49.23%,(34.23%),(36.94%),(28.63%)
Printers & Scanners,L3,99%,15,0.00%,$717.79,72.85%,98.29%,(33.09%),(45.05%),(21.86%),99%,25,-7.64%,$3.22k,77.47%,95.34%,(27.05%),(53.59%),(19.36%),99%,39,-10.17%,$8.57k,68.34%,92.95%,(14.68%),(64.9%),(20.34%),98%,68,-43.84%,$22.52k,74.66%,94.25%,(4.81%),(47.49%),(46.8%),98%,117,-5.32%,$26.92k,67.42%,94.11%,(2.87%),(55.23%),(41.45%)
Toys,L3,100%,39,0.00%,$194.75,60.14%,82.08%,(7.17%),(81.45%),(11.39%),100%,57,-19.54%,$1.27k,65.97%,86.21%,(6.7%),(84.29%),(9.01%),100%,76,-8.40%,$4.38k,66.12%,84.64%,(4.66%),(86.76%),(8.56%),100%,157,-23.79%,$9.34k,63.95%,88.36%,(1.25%),(80.17%),(18.3%),100%,209,232.78%,$9.13k,60.01%,88.74%,(1.06%),(76.95%),(21.78%)
Blankets & Throws,L3,1%,3,0.00%,$673.95,100.00%,100.00%,(14.54%),(85.46%),(0%),2%,3,-40.98%,$9.51k,100.00%,100.00%,(1.03%),(98.86%),(0.11%),4%,3,-68.68%,$110.08k,100.00%,100.00%,(0.1%),(99.85%),(0.01%),11%,4,-52.44%,$728.22k,99.81%,100.00%,(0.11%),(91.87%),(6.87%),7%,4,960.08%,$796.92k,99.83%,100.00%,(0.1%),(92.53%),(6.32%)
Rice & Pressure Cookers,L3,10%,3,0.00%,$3.34k,100.00%,100.00%,(0%),(100%),(0%),8%,4,-9.84%,$24.34k,99.82%,100.00%,(0%),(99.49%),(0.51%),10%,8,-23.03%,$41.27k,98.24%,100.00%,(1.57%),(96.33%),(2.1%),8%,11,-4.80%,$80.67k,90.18%,100.00%,(1.45%),(91.15%),(4.48%),10%,26,33.65%,$59.67k,91.42%,99.80%,(0.83%),(90.05%),(6.95%)
"Hair Removal Cream, Wax & Shave",L3,5%,32,0.00%,$236.84,63.17%,89.56%,(7.1%),(79.89%),(13.01%),5%,58,-26.37%,$1.09k,66.30%,88.43%,(2.88%),(77.17%),(19.95%),5%,88,-0.16%,$3.74k,66.83%,86.31%,(4.84%),(63.56%),(31.44%),7%,184,-50.04%,$8.68k,54.85%,80.16%,(5.65%),(57.37%),(36.52%),8%,310,-23.23%,$11.87k,46.21%,69.62%,(3.45%),(56.42%),(39.91%)
Instant Noodles,L3,50%,25,0.00%,$339.66,75.64%,91.15%,(11.88%),(79.52%),(8.61%),42%,41,2.38%,$1.42k,72.32%,89.71%,(6.06%),(81.79%),(12.15%),49%,57,-37.66%,$5.72k,73.30%,89.54%,(5.79%),(80.68%),(12.48%),38%,94,-22.53%,$13.25k,72.68%,91.00%,(2.35%),(74.73%),(14.41%),49%,154,-32.92%,$20.14k,64.02%,88.35%,(1.52%),(78.55%),(15.89%)
Pest & Weed Control,L3,2%,15,0.00%,$327.41,81.91%,97.76%,(9.52%),(86.98%),(3.51%),3%,21,-20.30%,$2.36k,71.14%,98.41%,(4.33%),(91.85%),(3.82%),3%,40,-42.26%,$8.15k,79.14%,97.73%,(2.57%),(94.91%),(2.51%),8%,97,-41.51%,$17.63k,84.95%,97.39%,(3.68%),(85.12%),(9.4%),9%,164,25.56%,$18.74k,82.35%,97.13%,(4.45%),(85.34%),(9.17%)
Refrigeration Equipment,L3,15%,2,0.00%,$2.66k,100.00%,100.00%,(9.59%),(90.41%),(0%),14%,2,-19.01%,$21.54k,100.00%,100.00%,(14.99%),(85.01%),(0%),24%,2,-47.31%,$161.56k,100.00%,100.00%,(4.15%),(95.85%),(0%),53%,2,-71.29%,$1.21m,100.00%,100.00%,(0.72%),(97.55%),(0.14%),57%,2,404.85%,$1.46m,100.00%,100.00%,(0.6%),(97.28%),(0.79%)
