shop_name,shop_type,shop_earliest_date_recorded,shop_soa_revenue_Yesterday,shop_soa_revenue_per_day_Yesterday,shop_affiliate_revenue_Yesterday,shop_affiliate_revenue_per_day_Yesterday,shop_soa_revenue_share_Yesterday,shop_aff_revenue_share_Yesterday,shop_mall_revenue_share_Yesterday,shop_soa_revenue_Last 7 Days,shop_soa_revenue_per_day_Last 7 Days,shop_affiliate_revenue_Last 7 Days,shop_affiliate_revenue_per_day_Last 7 Days,shop_soa_revenue_share_Last 7 Days,shop_aff_revenue_share_Last 7 Days,shop_mall_revenue_share_Last 7 Days,shop_soa_revenue_Last 30 Days,shop_soa_revenue_per_day_Last 30 Days,shop_affiliate_revenue_Last 30 Days,shop_affiliate_revenue_per_day_Last 30 Days,shop_soa_revenue_share_Last 30 Days,shop_aff_revenue_share_Last 30 Days,shop_mall_revenue_share_Last 30 Days,shop_soa_revenue_Last 90 Days,shop_soa_revenue_per_day_Last 90 Days,shop_affiliate_revenue_Last 90 Days,shop_affiliate_revenue_per_day_Last 90 Days,shop_soa_revenue_share_Last 90 Days,shop_aff_revenue_share_Last 90 Days,shop_mall_revenue_share_Last 90 Days,shop_soa_revenue_Last 180 Days,shop_soa_revenue_per_day_Last 180 Days,shop_affiliate_revenue_Last 180 Days,shop_affiliate_revenue_per_day_Last 180 Days,shop_soa_revenue_share_Last 180 Days,shop_aff_revenue_share_Last 180 Days,shop_mall_revenue_share_Last 180 Days
Bella All Natural,BRAND,10/10/2023,$11.93k,$0.00 Per Day,$11.93k,$11.93k Per Day,(0%),(100%),(0%),$63.47k,$167.88 Per Day,$61.48k,$8.78k Per Day,(1.85%),(96.87%),(1.28%),$467.62k,$200.99 Per Day,$396.79k,$13.23k Per Day,(1.29%),(84.85%),(13.86%),$1.52m,$698.20 Per Day,$1.22m,$13.61k Per Day,(4.14%),(80.74%),(15.12%),$2.31m,$349.84 Per Day,$2.00m,$11.10k Per Day,(2.73%),(86.61%),(10.66%)
UPC BRANDS,RETAILER,07/27/2023,$8.83k,$137.50 Per Day,$8.23k,$8.23k Per Day,(1.56%),(93.15%),(5.29%),$64.11k,$1.12k Per Day,$51.38k,$7.34k Per Day,(12.28%),(80.14%),(7.58%),$543.46k,$566.09 Per Day,$493.60k,$16.45k Per Day,(3.12%),(90.83%),(6.05%),$1.64m,$425.86 Per Day,$1.49m,$16.52k Per Day,(2.34%),(90.81%),(6.85%),$3.86m,$670.79 Per Day,$3.42m,$18.99k Per Day,(3.13%),(88.58%),(8.29%)
LYS Beauty,RETAILER,07/25/2023,$9.24k,$0.00 Per Day,$8.65k,$8.65k Per Day,(0%),(93.65%),(6.35%),$89.50k,$10.71 Per Day,$74.22k,$10.60k Per Day,(0.08%),(82.92%),(16.99%),$545.70k,$33.09 Per Day,$518.56k,$17.29k Per Day,(0.18%),(95.03%),(4.79%),$1.05m,$11.73 Per Day,$973.49k,$10.82k Per Day,(0.1%),(92.82%),(7.08%),$2.00m,$5.86 Per Day,$1.90m,$10.54k Per Day,(0.05%),(94.72%),(5.23%)
GOO GOO HAIR,BRAND,09/30/2023,$15.81k,$821.92 Per Day,$14.82k,$14.82k Per Day,(5.2%),(93.77%),(1.03%),$102.38k,$901.95 Per Day,$93.52k,$13.36k Per Day,(6.17%),(91.34%),(2.49%),$528.25k,$474.68 Per Day,$498.32k,$16.61k Per Day,(2.7%),(94.34%),(2.97%),$1.43m,$201.55 Per Day,$1.28m,$14.26k Per Day,(1.26%),(89.51%),(9.23%),$2.57m,$101.38 Per Day,$2.31m,$12.82k Per Day,(0.71%),(89.95%),(9.34%)
Momcozy Shop,BRAND,08/31/2023,$16.26k,$56.99 Per Day,$15.87k,$15.87k Per Day,(0.35%),(97.6%),(2.05%),$125.23k,$419.86 Per Day,$117.41k,$16.77k Per Day,(2.35%),(93.76%),(3.89%),$531.95k,$338.72 Per Day,$504.11k,$16.80k Per Day,(1.91%),(94.77%),(3.32%),$1.18m,$118.50 Per Day,$1.08m,$12.04k Per Day,(0.9%),(91.67%),(7.43%),$1.94m,$59.25 Per Day,$1.77m,$9.81k Per Day,(0.55%),(91.04%),(8.41%)
B&QLASH,BRAND,09/28/2023,$12.98k,$143.76 Per Day,$12.82k,$12.82k Per Day,(1.11%),(98.75%),(0.15%),$108.92k,$194.69 Per Day,$101.15k,$14.45k Per Day,(1.25%),(92.86%),(5.89%),$522.42k,$220.00 Per Day,$492.83k,$16.43k Per Day,(1.26%),(94.34%),(4.4%),$1.62m,$676.37 Per Day,$1.43m,$15.83k Per Day,(3.75%),(87.71%),(8.55%),$3.08m,$1.16k Per Day,$2.72m,$15.11k Per Day,(6.78%),(88.33%),(4.89%)
Beast Bites Supplements,RETAILER,08/01/2023,$18.37k,$104.48 Per Day,$18.26k,$18.26k Per Day,(0.57%),(99.43%),(0%),$106.43k,$277.55 Per Day,$102.07k,$14.58k Per Day,(1.83%),(95.9%),(2.28%),$526.56k,$212.18 Per Day,$517.48k,$17.25k Per Day,(1.21%),(98.27%),(0.52%),$1.73m,$279.27 Per Day,$1.64m,$18.19k Per Day,(1.46%),(94.92%),(3.63%),$4.18m,$234.38 Per Day,$4.07m,$22.62k Per Day,(1.01%),(97.39%),(1.6%)
eGadgets,RETAILER,09/03/2023,$13.97k,$0.00 Per Day,$2.47k,$2.47k Per Day,(0%),(17.7%),(82.3%),$102.68k,$0.00 Per Day,$18.34k,$2.62k Per Day,(0%),(17.86%),(82.14%),$521.31k,$0.00 Per Day,$229.77k,$7.66k Per Day,(0%),(44.08%),(55.92%),$1.99m,$0.00 Per Day,$1.37m,$15.19k Per Day,(0%),(68.76%),(31.24%),$2.67m,$0.00 Per Day,$2.03m,$11.28k Per Day,(0%),(76.22%),(23.78%)
Cali Curves Fajas,RETAILER,07/25/2023,$17.75k,$13.85k Per Day,$2.84k,$2.84k Per Day,(78.06%),(15.98%),(5.97%),$186.72k,$16.56k Per Day,$9.94k,$1.42k Per Day,(62.08%),(5.32%),(32.6%),$535.57k,$12.68k Per Day,$48.28k,$1.61k Per Day,(71.01%),(9.01%),(19.98%),$2.30m,$18.43k Per Day,$118.56k,$1.32k Per Day,(72.11%),(5.16%),(22.74%),$3.95m,$15.32k Per Day,$142.07k,$789.29 Per Day,(69.77%),(3.59%),(26.64%)
EUHOMY,BRAND,08/26/2023,$10.34k,$84.98 Per Day,$10.25k,$10.25k Per Day,(0.82%),(99.18%),(0%),$104.09k,$2.93k Per Day,$83.37k,$11.91k Per Day,(19.68%),(80.09%),(0.23%),$507.19k,$1.12k Per Day,$471.20k,$15.71k Per Day,(6.6%),(92.9%),(0.49%),$3.52m,$426.88 Per Day,$3.40m,$37.78k Per Day,(1.09%),(96.66%),(2.25%),$6.18m,$230.27 Per Day,$5.90m,$32.75k Per Day,(0.67%),(95.4%),(3.92%)
JLab,RETAILER,10/09/2023,$47.79k,$1.75k Per Day,$46.05k,$46.05k Per Day,(3.66%),(96.34%),(0%),$206.26k,$541.96 Per Day,$201.95k,$28.85k Per Day,(1.84%),(97.91%),(0.25%),$559.96k,$586.77 Per Day,$537.09k,$17.90k Per Day,(3.14%),(95.91%),(0.94%),$1.21m,$786.42 Per Day,$1.08m,$11.98k Per Day,(5.84%),(89%),(5.16%),$1.98m,$535.38 Per Day,$1.74m,$9.64k Per Day,(4.86%),(87.59%),(7.55%)
ARZOPA,BRAND,10/02/2023,$11.12k,$1.66k Per Day,$9.03k,$9.03k Per Day,(14.94%),(81.21%),(3.84%),$89.95k,$2.49k Per Day,$69.54k,$9.93k Per Day,(19.37%),(77.31%),(3.31%),$522.38k,$2.19k Per Day,$439.13k,$14.64k Per Day,(12.6%),(84.06%),(3.34%),$1.35m,$2.27k Per Day,$1.06m,$11.74k Per Day,(15.09%),(78.14%),(6.77%),$2.84m,$2.09k Per Day,$2.32m,$12.88k Per Day,(13.25%),(81.71%),(5.04%)
Zikoo,RETAILER,01/13/2024,$12.85k,$0.00 Per Day,$12.85k,$12.85k Per Day,(0%),(100%),(0%),$100.65k,$0.00 Per Day,$100.65k,$14.38k Per Day,(0%),(100%),(0%),$508.91k,$0.00 Per Day,$499.87k,$16.66k Per Day,(0%),(98.22%),(1.78%),$1.33m,$0.00 Per Day,$1.25m,$13.85k Per Day,(0%),(93.65%),(6.35%),$2.41m,$0.00 Per Day,$2.28m,$12.65k Per Day,(0%),(94.39%),(5.61%)
Toplanet,RETAILER,07/21/2023,$14.49k,$0.00 Per Day,$14.17k,$14.17k Per Day,(0%),(97.79%),(2.21%),$68.92k,$0.00 Per Day,$63.00k,$9.00k Per Day,(0%),(91.41%),(8.59%),$511.66k,$11.76 Per Day,$419.76k,$13.99k Per Day,(0.07%),(82.04%),(17.89%),$1.66m,$87.65 Per Day,$1.46m,$16.18k Per Day,(0.48%),(87.95%),(11.57%),$3.19m,$61.27 Per Day,$2.78m,$15.45k Per Day,(0.35%),(87.3%),(12.36%)
Sweet Furniture S,BRAND,11/08/2023,$15.87k,$44.99 Per Day,$15.64k,$15.64k Per Day,(0.28%),(98.55%),(1.17%),$95.46k,$490.94 Per Day,$90.08k,$12.87k Per Day,(3.6%),(94.37%),(2.03%),$514.28k,$2.05k Per Day,$447.20k,$14.91k Per Day,(11.93%),(86.96%),(1.11%),$1.58m,$1.48k Per Day,$1.16m,$12.92k Per Day,(8.41%),(73.54%),(18.06%),$2.94m,$738.83 Per Day,$1.89m,$10.50k Per Day,(4.52%),(64.3%),(31.17%)
Medcursor,BRAND,11/07/2023,$9.85k,$2.40k Per Day,$7.45k,$7.45k Per Day,(24.35%),(75.65%),(0%),$101.71k,$1.11k Per Day,$89.81k,$12.83k Per Day,(7.64%),(88.31%),(4.05%),$512.67k,$2.56k Per Day,$430.31k,$14.34k Per Day,(14.98%),(83.94%),(1.08%),$1.19m,$3.84k Per Day,$827.35k,$9.19k Per Day,(28.98%),(69.45%),(1.57%),$2.21m,$1.92k Per Day,$1.80m,$9.98k Per Day,(15.64%),(81.25%),(3.12%)
OLOV.US,BRAND,11/17/2023,$8.80k,$55.98 Per Day,$8.74k,$8.74k Per Day,(0.64%),(99.36%),(0%),$71.17k,$39.55 Per Day,$70.76k,$10.11k Per Day,(0.39%),(99.43%),(0.18%),$497.68k,$29.91 Per Day,$496.12k,$16.54k Per Day,(0.18%),(99.69%),(0.13%),$2.13m,$13.41 Per Day,$2.07m,$23.05k Per Day,(0.06%),(97.58%),(2.37%),$3.82m,$6.70 Per Day,$3.77m,$20.92k Per Day,(0.03%),(98.65%),(1.32%)
MAGICJOHN.US,BRAND,04/19/2024,$13.42k,$3.71k Per Day,$9.72k,$9.72k Per Day,(27.62%),(72.38%),(0%),$113.28k,$4.57k Per Day,$81.30k,$11.61k Per Day,(28.23%),(71.77%),(0%),$503.25k,$3.35k Per Day,$402.72k,$13.42k Per Day,(19.97%),(80.02%),(0.01%),$2.06m,$4.94k Per Day,$1.60m,$17.74k Per Day,(21.59%),(77.47%),(0.94%),$2.32m,$3.53k Per Day,$1.81m,$12.90k Per Day,(21.29%),(77.79%),(0.92%)
Shiny yoga,RETAILER,11/27/2023,$13.86k,$0.00 Per Day,$13.55k,$13.55k Per Day,(0%),(97.75%),(2.25%),$101.86k,$0.00 Per Day,$99.75k,$14.25k Per Day,(0%),(97.93%),(2.07%),$494.63k,$0.00 Per Day,$472.53k,$15.75k Per Day,(0%),(95.53%),(4.47%),$1.74m,$0.00 Per Day,$1.48m,$16.46k Per Day,(0%),(85.3%),(14.7%),$2.65m,$0.00 Per Day,$2.24m,$12.46k Per Day,(0%),(84.63%),(15.37%)
BeautyHouse US,RETAILER,04/30/2024,$27.37k,$0.00 Per Day,$27.30k,$27.30k Per Day,(0%),(99.73%),(0.27%),$125.16k,$0.00 Per Day,$124.08k,$17.73k Per Day,(0%),(99.14%),(0.86%),$493.23k,$3.30 Per Day,$488.70k,$16.29k Per Day,(0.02%),(99.08%),(0.9%),$666.95k,$1.10 Per Day,$642.03k,$7.13k Per Day,(0.01%),(96.26%),(3.72%),$715.90k,$0.77 Per Day,$684.15k,$5.30k Per Day,(0.01%),(95.56%),(4.42%)
Savor,RETAILER,07/25/2023,$13.39k,$936.00 Per Day,$11.84k,$11.84k Per Day,(6.99%),(88.44%),(4.57%),$106.50k,$1.39k Per Day,$91.79k,$13.11k Per Day,(9.12%),(86.19%),(4.69%),$500.41k,$1.61k Per Day,$395.67k,$13.19k Per Day,(9.65%),(79.07%),(11.28%),$1.20m,$1.57k Per Day,$928.90k,$10.32k Per Day,(11.82%),(77.68%),(10.5%),$1.79m,$1.56k Per Day,$1.36m,$7.55k Per Day,(15.67%),(75.9%),(8.44%)
COSLUS Oral Care,RETAILER,06/19/2024,$5.72k,$0.00 Per Day,$5.59k,$5.59k Per Day,(0%),(97.83%),(2.17%),$50.19k,$0.00 Per Day,$49.12k,$7.02k Per Day,(0%),(97.87%),(2.13%),$504.77k,$0.00 Per Day,$485.53k,$16.18k Per Day,(0%),(96.19%),(3.81%),$511.07k,$0.00 Per Day,$491.62k,$6.22k Per Day,(0%),(96.19%),(3.81%),$511.07k,$0.00 Per Day,$491.62k,$6.22k Per Day,(0%),(96.19%),(3.81%)
Crown Qu,RETAILER,09/07/2023,$24.97k,$0.00 Per Day,$24.91k,$24.91k Per Day,(0%),(99.74%),(0.26%),$188.33k,$0.00 Per Day,$188.00k,$26.86k Per Day,(0%),(99.82%),(0.18%),$483.29k,$0.00 Per Day,$482.03k,$16.07k Per Day,(0%),(99.74%),(0.26%),$1.88m,$0.00 Per Day,$1.82m,$20.23k Per Day,(0%),(96.77%),(3.23%),$3.73m,$0.00 Per Day,$3.52m,$19.58k Per Day,(0%),(94.52%),(5.48%)
PurelyWHITE DELUXE,BRAND,08/16/2023,$12.74k,$0.00 Per Day,$12.45k,$12.45k Per Day,(0%),(97.72%),(2.28%),$86.34k,$10.71 Per Day,$84.19k,$12.03k Per Day,(0.09%),(97.51%),(2.4%),$490.13k,$17.99 Per Day,$480.32k,$16.01k Per Day,(0.11%),(98%),(1.89%),$1.05m,$28.47 Per Day,$981.28k,$10.90k Per Day,(0.25%),(93.89%),(5.87%),$1.71m,$31.14 Per Day,$1.52m,$8.44k Per Day,(0.33%),(88.61%),(11.06%)
Giftexpress,RETAILER,02/19/2024,$3.70k,$0.00 Per Day,$470.15,$470.15 Per Day,(0%),(12.72%),(87.28%),$29.18k,$0.00 Per Day,$3.69k,$526.82 Per Day,(0%),(12.64%),(87.36%),$485.12k,$3.02 Per Day,$39.65k,$1.32k Per Day,(0.02%),(8.17%),(91.81%),$1.15m,$9.08 Per Day,$112.42k,$1.25k Per Day,(0.07%),(9.82%),(90.11%),$1.56m,$10.73 Per Day,$114.21k,$648.94 Per Day,(0.12%),(7.3%),(92.58%)
Grüns,BRAND,04/12/2024,$17.24k,$0.00 Per Day,$17.24k,$17.24k Per Day,(0%),(100%),(0%),$88.71k,$0.00 Per Day,$88.63k,$12.66k Per Day,(0%),(99.91%),(0.09%),$479.82k,$0.00 Per Day,$478.99k,$15.97k Per Day,(0%),(99.83%),(0.17%),$1.78m,$0.00 Per Day,$1.74m,$19.37k Per Day,(0%),(97.78%),(2.22%),$1.81m,$0.00 Per Day,$1.77m,$12.04k Per Day,(0%),(97.64%),(2.36%)
Raybee Furniture US,BRAND,04/12/2024,$30.88k,$0.00 Per Day,$29.59k,$29.59k Per Day,(0%),(95.81%),(4.19%),$150.80k,$25.44 Per Day,$121.99k,$17.43k Per Day,(0.12%),(80.9%),(18.99%),$502.47k,$51.48 Per Day,$393.17k,$13.11k Per Day,(0.31%),(78.25%),(21.44%),$999.11k,$24.06 Per Day,$728.31k,$8.09k Per Day,(0.22%),(72.9%),(26.89%),$1.05m,$14.73 Per Day,$756.06k,$5.14k Per Day,(0.21%),(71.83%),(27.97%)
wlsea,RETAILER,09/06/2023,$16.63k,$0.00 Per Day,$16.61k,$16.61k Per Day,(0%),(99.92%),(0.08%),$150.18k,$0.00 Per Day,$150.09k,$21.44k Per Day,(0%),(99.94%),(0.06%),$492.39k,$0.00 Per Day,$491.79k,$16.39k Per Day,(0%),(99.88%),(0.12%),$801.65k,$0.00 Per Day,$776.52k,$8.63k Per Day,(0%),(96.86%),(3.14%),$925.43k,$0.00 Per Day,$872.03k,$4.84k Per Day,(0%),(94.23%),(5.77%)
Amerlife,BRAND,08/08/2023,$3.76k,$0.00 Per Day,$3.56k,$3.56k Per Day,(0%),(94.84%),(5.16%),$42.30k,$0.00 Per Day,$32.55k,$4.65k Per Day,(0%),(76.95%),(23.05%),$460.04k,$0.00 Per Day,$421.81k,$14.06k Per Day,(0%),(91.69%),(8.31%),$1.61m,$2.33 Per Day,$1.14m,$12.71k Per Day,(0.01%),(70.95%),(29.03%),$2.50m,$7.79 Per Day,$1.54m,$8.57k Per Day,(0.06%),(61.68%),(38.26%)
MagicJohn.USA,BRAND,02/24/2024,$13.47k,$5.76k Per Day,$7.71k,$7.71k Per Day,(42.78%),(57.22%),(0%),$102.91k,$6.95k Per Day,$54.28k,$7.75k Per Day,(47.26%),(52.74%),(0%),$480.78k,$6.26k Per Day,$291.78k,$9.73k Per Day,(39.08%),(60.69%),(0.23%),$1.68m,$6.39k Per Day,$1.02m,$11.37k Per Day,(34.25%),(60.97%),(4.78%),$3.09m,$9.66k Per Day,$1.24m,$6.88k Per Day,(56.24%),(40.05%),(3.71%)
Bettlity,RETAILER,09/26/2023,$23.87k,$0.00 Per Day,$22.35k,$22.35k Per Day,(0%),(93.64%),(6.36%),$117.20k,$0.00 Per Day,$111.62k,$15.95k Per Day,(0%),(95.24%),(4.76%),$486.43k,$0.00 Per Day,$433.81k,$14.46k Per Day,(0%),(89.18%),(10.82%),$871.22k,$0.00 Per Day,$722.86k,$8.03k Per Day,(0%),(82.97%),(17.03%),$1.40m,$0.00 Per Day,$1.16m,$6.42k Per Day,(0%),(82.24%),(17.76%)
ESPRLIA,RETAILER,09/13/2023,$3.81k,$0.00 Per Day,$3.80k,$3.80k Per Day,(0%),(99.88%),(0.12%),$42.16k,$0.00 Per Day,$42.15k,$6.02k Per Day,(0%),(99.99%),(0.01%),$450.46k,$0.00 Per Day,$435.09k,$14.50k Per Day,(0%),(96.59%),(3.41%),$800.53k,$0.00 Per Day,$757.78k,$8.42k Per Day,(0%),(94.66%),(5.34%),$977.15k,$0.00 Per Day,$922.25k,$5.12k Per Day,(0%),(94.38%),(5.62%)
Hatteker Personal Care,RETAILER,04/28/2024,$11.80k,$0.00 Per Day,$11.75k,$11.75k Per Day,(0%),(99.54%),(0.46%),$84.69k,$0.00 Per Day,$83.41k,$11.92k Per Day,(0%),(98.49%),(1.51%),$462.54k,$0.00 Per Day,$457.74k,$15.26k Per Day,(0%),(98.96%),(1.04%),$844.75k,$0.00 Per Day,$773.22k,$8.59k Per Day,(0%),(91.53%),(8.47%),$849.54k,$0.00 Per Day,$774.10k,$5.91k Per Day,(0%),(91.12%),(8.88%)
Slok,RETAILER,02/01/2024,$18.57k,$0.00 Per Day,$18.57k,$18.57k Per Day,(0%),(100%),(0%),$75.50k,$0.00 Per Day,$75.50k,$10.79k Per Day,(0%),(100%),(0%),$478.41k,$0.00 Per Day,$410.80k,$13.69k Per Day,(0%),(85.87%),(14.13%),$1.41m,$0.00 Per Day,$1.24m,$13.73k Per Day,(0%),(87.38%),(12.62%),$1.76m,$0.00 Per Day,$1.47m,$8.18k Per Day,(0%),(83.62%),(16.38%)
Evans Sneakers,BRAND,05/08/2024,$8.56k,$4.24k Per Day,$615.82,$615.82 Per Day,(49.55%),(7.2%),(43.26%),$101.32k,$7.46k Per Day,$10.91k,$1.56k Per Day,(51.56%),(10.76%),(37.67%),$455.03k,$6.66k Per Day,$127.15k,$4.24k Per Day,(43.92%),(27.94%),(28.13%),$1.41m,$4.51k Per Day,$401.38k,$4.46k Per Day,(28.75%),(28.45%),(42.8%),$1.51m,$3.79k Per Day,$413.71k,$3.42k Per Day,(30.31%),(27.32%),(42.38%)
Morento,RETAILER,10/27/2023,$11.74k,$0.00 Per Day,$11.68k,$11.68k Per Day,(0%),(99.45%),(0.55%),$92.06k,$0.00 Per Day,$91.09k,$13.01k Per Day,(0%),(98.94%),(1.06%),$463.55k,$0.00 Per Day,$457.53k,$15.25k Per Day,(0%),(98.7%),(1.3%),$1.74m,$0.00 Per Day,$1.49m,$16.55k Per Day,(0%),(85.78%),(14.22%),$2.72m,$0.00 Per Day,$2.41m,$13.41k Per Day,(0%),(88.62%),(11.38%)
Forever Bloom skincare,RETAILER,07/28/2023,$12.38k,$335.92 Per Day,$12.04k,$12.04k Per Day,(2.71%),(97.29%),(0%),$80.64k,$188.99 Per Day,$78.80k,$11.26k Per Day,(1.64%),(97.72%),(0.64%),$463.60k,$313.02 Per Day,$452.64k,$15.09k Per Day,(2.03%),(97.64%),(0.34%),$1.48m,$533.32 Per Day,$1.34m,$14.90k Per Day,(3.24%),(90.51%),(6.25%),$1.96m,$273.28 Per Day,$1.77m,$9.81k Per Day,(2.51%),(89.97%),(7.53%)
Topdonshop,RETAILER,01/13/2024,$14.31k,$0.00 Per Day,$13.27k,$13.27k Per Day,(0%),(92.72%),(7.28%),$92.70k,$0.00 Per Day,$87.45k,$12.49k Per Day,(0%),(94.34%),(5.66%),$468.23k,$0.00 Per Day,$386.74k,$12.89k Per Day,(0%),(82.6%),(17.4%),$1.28m,$0.00 Per Day,$1.06m,$11.74k Per Day,(0%),(82.41%),(17.59%),$1.87m,$0.00 Per Day,$1.58m,$8.77k Per Day,(0%),(84.27%),(15.73%)
Govee.US,BRAND,01/17/2024,$6.61k,$227.96 Per Day,$6.27k,$6.27k Per Day,(3.45%),(94.83%),(1.73%),$53.85k,$155.98 Per Day,$52.30k,$7.47k Per Day,(2.03%),(97.12%),(0.85%),$451.75k,$98.38 Per Day,$435.94k,$14.53k Per Day,(0.65%),(96.5%),(2.85%),$1.75m,$34.40 Per Day,$1.67m,$18.61k Per Day,(0.18%),(95.85%),(3.97%),$2.74m,$17.20 Per Day,$2.59m,$14.40k Per Day,(0.11%),(94.7%),(5.18%)
Moxy Performance,RETAILER,06/05/2024,$9.75k,$6.05k Per Day,$3.71k,$3.71k Per Day,(61.99%),(38.01%),(0%),$175.61k,$17.67k Per Day,$50.03k,$7.15k Per Day,(70.42%),(28.49%),(1.09%),$470.72k,$7.84k Per Day,$223.02k,$7.43k Per Day,(49.99%),(47.38%),(2.63%),$931.75k,$2.65k Per Day,$475.20k,$5.28k Per Day,(25.58%),(51%),(23.42%),$949.57k,$2.56k Per Day,$479.57k,$5.16k Per Day,(25.1%),(50.5%),(24.39%)
Nathan and Sons,RETAILER,04/04/2024,$42.35k,$24.06k Per Day,$18.30k,$18.30k Per Day,(56.8%),(43.2%),(0%),$199.01k,$17.90k Per Day,$73.70k,$10.53k Per Day,(62.96%),(37.04%),(0%),$468.86k,$11.68k Per Day,$118.55k,$3.95k Per Day,(74.72%),(25.28%),(0%),$926.92k,$4.94k Per Day,$363.10k,$4.03k Per Day,(47.94%),(39.17%),(12.89%),$1.05m,$2.87k Per Day,$364.36k,$2.35k Per Day,(42.4%),(34.77%),(22.83%)
Luvmehair,BRAND,02/29/2024,$19.00k,$0.00 Per Day,$19.00k,$19.00k Per Day,(0%),(100%),(0%),$132.85k,$3.38k Per Day,$105.90k,$15.13k Per Day,(17.83%),(79.71%),(2.45%),$469.69k,$3.07k Per Day,$360.65k,$12.02k Per Day,(19.62%),(76.78%),(3.59%),$1.10m,$2.44k Per Day,$843.99k,$9.38k Per Day,(19.91%),(76.45%),(3.64%),$1.57m,$1.42k Per Day,$1.26m,$7.00k Per Day,(16.26%),(80.19%),(3.55%)
Heresh,RETAILER,10/22/2023,$10.70k,$0.00 Per Day,$9.93k,$9.93k Per Day,(0%),(92.76%),(7.24%),$67.96k,$0.00 Per Day,$63.27k,$9.04k Per Day,(0%),(93.1%),(6.9%),$429.75k,$0.00 Per Day,$400.71k,$13.36k Per Day,(0%),(93.24%),(6.76%),$1.85m,$0.00 Per Day,$1.63m,$18.10k Per Day,(0%),(87.86%),(12.14%),$4.74m,$0.00 Per Day,$4.36m,$24.22k Per Day,(0%),(91.94%),(8.06%)
Mama Vs Candy,BRAND,08/13/2023,$15.31k,$2.07k Per Day,$13.24k,$13.24k Per Day,(13.52%),(86.48%),(0%),$133.08k,$2.16k Per Day,$115.18k,$16.45k Per Day,(11.34%),(86.55%),(2.11%),$463.67k,$1.70k Per Day,$403.13k,$13.44k Per Day,(11.01%),(86.94%),(2.05%),$1.46m,$3.03k Per Day,$1.07m,$11.87k Per Day,(18.65%),(73.12%),(8.24%),$2.11m,$1.94k Per Day,$1.63m,$9.05k Per Day,(16.56%),(77.15%),(6.29%)
StayShop US,RETAILER,09/29/2023,$8.73k,$75.50 Per Day,$8.65k,$8.65k Per Day,(0.87%),(99.13%),(0%),$55.46k,$100.64 Per Day,$53.68k,$7.67k Per Day,(1.27%),(96.78%),(1.95%),$450.28k,$200.78 Per Day,$441.67k,$14.72k Per Day,(1.34%),(98.09%),(0.58%),$1.40m,$203.18 Per Day,$1.21m,$13.48k Per Day,(1.3%),(86.38%),(12.32%),$2.04m,$202.77 Per Day,$1.71m,$9.53k Per Day,(1.78%),(83.86%),(14.35%)
ZenVitalityTea,RETAILER,06/23/2024,$22.56k,$0.00 Per Day,$22.56k,$22.56k Per Day,(0%),(100%),(0%),$145.21k,$0.00 Per Day,$138.14k,$19.73k Per Day,(0%),(95.13%),(4.87%),$468.39k,$0.00 Per Day,$432.49k,$14.42k Per Day,(0%),(92.34%),(7.66%),$666.64k,$0.00 Per Day,$540.85k,$7.21k Per Day,(0%),(81.13%),(18.87%),$666.64k,$0.00 Per Day,$540.85k,$7.21k Per Day,(0%),(81.13%),(18.87%)
Phlur Fragrances,RETAILER,10/18/2023,$6.43k,$0.00 Per Day,$4.28k,$4.28k Per Day,(0%),(66.59%),(33.41%),$61.28k,$40.51 Per Day,$51.52k,$7.36k Per Day,(0.46%),(84.08%),(15.46%),$387.66k,$53.47 Per Day,$350.54k,$11.68k Per Day,(0.41%),(90.43%),(9.16%),$1.10m,$211.79 Per Day,$805.15k,$8.95k Per Day,(1.73%),(72.98%),(25.29%),$1.89m,$106.69 Per Day,$1.34m,$7.47k Per Day,(1.02%),(71.17%),(27.81%)
Curvy Body,BRAND,12/24/2023,$9.93k,$0.00 Per Day,$9.25k,$9.25k Per Day,(0%),(93.16%),(6.84%),$69.03k,$0.00 Per Day,$67.97k,$9.71k Per Day,(0%),(98.47%),(1.53%),$392.64k,$0.00 Per Day,$378.59k,$12.62k Per Day,(0%),(96.42%),(3.58%),$1.10m,$0.00 Per Day,$1.01m,$11.27k Per Day,(0%),(92.09%),(7.91%),$2.42m,$0.00 Per Day,$2.29m,$12.73k Per Day,(0%),(94.77%),(5.23%)
Y'Homes,RETAILER,04/15/2024,$8.43k,$0.00 Per Day,$8.43k,$8.43k Per Day,(0%),(100%),(0%),$48.96k,$0.00 Per Day,$48.93k,$6.99k Per Day,(0%),(99.93%),(0.07%),$399.93k,$0.00 Per Day,$395.37k,$13.18k Per Day,(0%),(98.86%),(1.14%),$3.09m,$0.00 Per Day,$2.92m,$32.50k Per Day,(0%),(94.62%),(5.38%),$3.10m,$0.00 Per Day,$2.93m,$28.46k Per Day,(0%),(94.44%),(5.56%)
